0	0	4.0
0	1	4.0
0	2	4.0
0	3	3.5
0	4	4.0
0	5	4.5
0	6	4.0
0	7	4.0
0	8	3.5
0	9	3.5
1	10	4.0
1	11	3.5
1	12	4.0
1	13	5.0
1	14	2.0
1	15	2.0
1	16	4.0
1	17	3.5
1	18	4.0
1	19	4.0
2	20	4.5
2	21	3.0
2	22	4.0
2	23	2.5
2	24	3.0
2	25	4.0
2	26	4.0
2	27	4.0
2	28	3.5
2	29	3.5
3	30	3.0
3	31	3.5
3	32	3.5
3	33	3.5
3	34	4.0
3	35	3.5
3	36	4.0
3	37	3.0
3	38	3.5
3	39	4.0
4	40	4.5
4	41	3.5
4	42	4.0
4	43	4.5
4	44	3.5
4	45	2.5
4	46	4.5
4	47	3.5
4	48	4.0
4	49	4.5
5	50	2.5
5	51	4.5
5	52	3.5
5	53	4.0
5	54	3.5
5	55	3.5
5	56	4.0
5	57	4.0
5	58	3.5
5	59	2.5
6	60	4.0
6	61	2.0
6	62	3.0
6	63	3.0
6	64	4.0
6	65	3.0
6	66	4.0
6	67	4.5
6	68	3.5
6	69	3.5
7	70	3.5
7	71	4.5
7	72	4.5
7	73	4.0
7	74	3.5
7	75	4.5
7	76	4.0
7	77	4.5
7	78	5.0
7	79	4.0
8	80	4.0
8	81	3.5
8	82	3.5
8	83	3.5
8	84	3.5
8	85	3.5
8	86	3.0
8	87	4.0
8	88	4.0
8	89	2.5
6	90	4.0
6	91	3.0
6	92	1.5
6	93	3.5
6	94	3.0
6	95	3.5
6	96	3.5
6	97	3.5
6	98	3.0
6	99	3.5
9	100	4.0
9	101	4.0
9	102	4.5
9	103	3.0
9	104	3.5
9	105	3.5
9	106	4.5
9	107	4.0
9	108	4.0
9	109	4.0
10	110	2.0
10	111	3.0
10	112	3.0
10	113	3.5
10	114	4.0
10	115	3.0
10	116	3.0
10	117	2.5
10	118	3.5
10	119	3.5
11	120	2.0
11	121	4.0
11	122	4.0
11	123	3.5
11	124	4.0
11	125	3.5
11	126	3.5
11	127	3.5
11	128	3.0
11	129	3.5
8	130	4.5
8	131	4.5
8	132	4.0
8	133	3.5
8	134	3.5
8	135	3.5
8	136	4.0
